player,게임수,평균득점,필드골,3점,자유투,리바운드,어시스트,스틸,블록,턴오버,파울,효율성
강바일,37,3.1,0.6,0.5,0.2,0.7,0.1,0.3,0,0.4,1.5,3.5
강상재,241,9.5,3.1,0.8,0.9,5.5,1.5,0.7,0.4,1,2.6,15.9
고찬혁,0,0,0,0,0,0,0,0,0,0,0,0
곽정훈,17,2.1,0.6,0.2,0.2,1,0.2,0.1,0,0.2,0.9,3.1
김강선,491,4.2,0.8,0.6,0.6,1.2,0.8,0.5,0.1,0.6,1.9,5.7
김건우,182,1.8,0.1,0.5,0.2,0.9,0.1,0.2,0,0.1,0.8,2.7
김국찬,114,7.9,1.3,1.5,0.7,2.2,1.3,0.6,0.1,1,1.8,10.5
김동량,261,3.5,1.5,0.1,0.3,2.4,0.4,0.3,0.1,0.5,1.3,5.9
김동욱,651,7.8,1.7,1.2,1,2.4,2.6,0.8,0.1,1.3,1.7,11.6
김동준,41,3.4,0.8,0.5,0.4,1,1.3,0.5,0,0.6,0.7,5.1
김동현,7,0.6,0,0,0.6,0.3,0.4,0,0,0.3,1,1
김민욱,248,5,1.5,0.5,0.4,2.5,0.5,0.3,0.4,0.5,1.2,7.9
김상규,335,4.1,1,0.6,0.5,2.5,0.7,0.5,0.2,0.4,1.3,7.1
김선형,483,13.2,3.9,1.1,2.1,3,4.6,1.5,0.3,2.2,1.6,18.9
김세창,27,1.2,0.3,0.2,0.1,0.2,0.6,0.2,0,0.3,0.5,1.7
김수환,0,0,0,0,0,0,0,0,0,0,0,0
김승원,248,3.2,1.2,0,0.6,3,0.7,0.4,0.3,0.4,1.8,6.8
김승원,248,3.2,1.2,0,0.6,3,0.7,0.4,0.3,0.4,1.8,6.8
김시래,408,10.1,2.3,1.1,2.2,3,4.9,1.1,0.1,2.1,2.2,16
김영현,84,2.3,0.2,0.6,0.2,0.7,0.4,0.3,0.1,0.2,1.5,3.3
김영환,632,9.2,2.1,1.2,1.3,2.9,2,0.7,0.1,1,1.9,13.2
김영훈,133,3,0.2,0.8,0.3,1.4,0.5,0.3,0,0.5,1.6,4.4
김윤태,272,4.1,1,0.5,0.5,1.3,1.7,0.7,0,1.1,1.8,6
김종규,408,11.3,4.4,0.2,1.8,6.2,1.5,0.5,0.9,1.4,2.5,18.5
김종범,239,4.3,0.6,0.9,0.3,1,0.7,0.4,0,0.5,1.7,5.5
김종호,4,2,0,0.5,0.5,0.8,0,0.5,0,0.3,1.8,2.5
김준일,251,10.6,4.5,0.1,1.5,4.3,1.4,0.7,0.6,1.7,2.5,15.2
김준환,10,1.7,0.6,0.1,0.2,0.7,0.3,0.3,0,0.4,0.8,2.3
김지완,330,6,1.3,1,0.5,1.6,2.6,0.6,0.1,1.3,1.8,9
김지후,142,6,0.9,1.2,0.7,1.2,0.7,0.5,0,0.7,1.7,7.2
김진모,0,0,0,0,0,0,0,0,0,0,0,0
